Consignee,ContainerType,ShipmentType,OriginService,DestinationService,ETD,Measurement,OriginCountry,DestinationCountry
Customer1   ,TRAI,IEL,CFS,CY ,02/04/2014,0.846,CN,CN
Customer1   ,HIGH,IEL,CFS,CY ,02/04/2014,70.64,VN,HK
Customer1   ,HIGH,IEL,CFS,CY ,02/04/2014,70.91,VN,HK
Customer1   ,HIGH,IEL,CFS,CY ,02/04/2014,70.83,VN,HK
Customer1   ,AIR ,AIR,   ,   ,18/04/2014,0.658,SG,BE
Customer1   ,HIGH,IEL,CFS,CY ,02/04/2014,69.46,VN,HK
Customer1   ,DRY ,IEL,CFS,CY ,02/04/2014,56.9,CN,BE
Customer1   ,TRAI,IEL,CFS,CY ,01/04/2014,1.12,CN,CN
Customer1   ,HIGH,IEL,CFS,CFS,01/04/2014,0,ID,MY
Customer1   ,HIGH,IEL,CFS,CFS,01/04/2014,0,ID,MY
Customer1   ,TRAI,IEL,CFS,CY ,01/04/2014,0.76,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,01/04/2014,0.35,CN,CN
Customer1   ,HIGH,IEL,CY ,CY ,01/04/2014,79.01,ID,BE
Customer1   ,TRAI,IEL,CFS,CY ,01/04/2014,3.01,CN,CN
Customer1   ,DRY ,IEL,CFS,CFS,22/03/2014,0,TH,MY
Customer1   ,HIGH,IEL,CFS,CY ,01/04/2014,70.51,VN,KR
Customer1   ,HIGH,IEL,CFS,CY ,01/04/2014,71.02,VN,KR
Customer1   ,HIGH,IEL,CFS,CY ,01/04/2014,71.01,VN,KR
Customer1   ,DRY ,IEL,CFS,CFS,18/04/2014,2.68,CN,NZ
Customer1   ,DRY ,IEL,CY ,CY ,05/05/2014,58.55,ID,JP
Customer1   ,AIR ,AIR,CFS,CY ,18/04/2014,3.221,CN,AU
Customer1   ,TRAI,IEL,CFS,CY ,18/04/2014,0.34,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,18/04/2014,0.5,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,18/04/2014,0.49,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,18/04/2014,0.37,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,18/04/2014,1.36,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,18/04/2014,10.35,CN,CN
Customer1   ,AIR ,AIR,CFS,CY ,18/04/2014,0.33,VN,BE
Customer1   ,AIR ,AIR,CFS,CFS,26/04/2014,0.83,IT,BR
Customer1   ,AIR ,AIR,   ,   ,27/04/2014,3.666,SG,BE
Customer1   ,HIGH,IEL,CY ,CY ,27/04/2014,67.86,ID,KR
Customer1   ,HIGH,IEL,CFS,CY ,27/04/2014,73.98,KH,BE
